"id","account_id","category_id","sub_category_id","goal_id","peer_contact_id","tag_ids","date","amount","type","note","description","receipt_path","recurring_id","split_data","investment_platform","expected_return_date","created_at","is_recurring","is_split_parent","is_split_child","parent_transaction_id","is_transfer","to_account_id"
"","Cash","Transport","Ride-Hailing","","","","2025-05-19 17:07:00","190.0","expense","dtdc thennal bank statemet uber","","","","","","","2025-05-19 17:07:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-19 17:08:00","30.0","expense","","","","","","","","2025-05-19 17:08:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-22 07:22:00","410.0","expense","rasna me and kailas","","","","","","","2025-05-22 07:22:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-05-23 20:22:00","3700.0","expense","thread mill","","","","","","","2025-05-23 20:22:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-24 19:44:00","140.0","expense","","","","","","","","2025-05-24 19:44:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-24 22:22:00","870.0","expense","","","","","","","","2025-05-24 22:22:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-26 22:21:00","3200.0","expense","chilla camp last day food","","","","","","","2025-05-26 22:21:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-26 22:23:00","40.0","expense","juice","","","","","","","2025-05-26 22:23:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-29 22:20:00","580.0","expense","","","","","","","","2025-05-29 22:20:00","false","false","false","","false",""
"","Cash","Salary","","","","","2025-06-01 15:34:00","100000.0","income","","","","","","","","2025-06-01 15:34:00","false","false","false","","false",""
"","Cash","Insurance","","","","","2025-06-01 18:26:00","8897.0","expense","icici insurance emi","","","","","","","2025-06-01 18:26:00","false","false","false","","false",""
"","Cash","Family & Social","Sent to Family","","","","2025-06-01 18:33:00","5000.0","expense","achan pension","","","","","","","2025-06-01 18:33:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-06-01 18:37:00","1000.0","expense","swaroop","","","","","","","2025-06-01 18:37:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-06-01 18:37:00","10000.0","expense","sagar 20k remaining","","","","","","","2025-06-01 18:37:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-06-01 18:39:00","5000.0","expense","vrinda 15 k more","","","","","","","2025-06-01 18:39:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-06-01 18:40:00","5000.0","expense","arun 15k more","","","","","","","2025-06-01 18:40:00","false","false","false","","false",""
"","Cash","Food & Dining","Restaurants/Dining Out","","","","2025-06-01 19:27:00","660.0","expense","chines box dinner","","","","","","","2025-06-01 19:27:00","false","false","false","","false",""
"","Cash","Family & Social","Sent to Family","","","","2025-06-01 20:50:00","5000.0","expense","amma pensions","","","","","","","2025-06-01 20:50:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-06-01 20:53:00","1000.0","expense","niranjan 1000","","","","","","","2025-06-01 20:53:00","false","false","false","","false",""
"","Cash","Mutual Funds","","","","","2025-06-02 13:23:00","12200.0","savings","Mutual fund SIP","","","","","","","2025-06-02 13:23:00","false","false","false","","false",""
"","Cash","Financial & Legal","Bank Fees & Charges","","","","2025-06-02 13:24:00","3052.0","expense","axio emi hdfc ergo","","","","","","","2025-06-02 13:24:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-03 18:16:00","386.0","expense","chiken","","","","","","","2025-06-03 18:16:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-04 23:09:00","480.0","expense","kuri train ticket","","","","","","","2025-06-04 23:09:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-04 23:09:00","140.0","expense","","","","","","","","2025-06-04 23:09:00","false","false","false","","false",""
"","Cash","Transport","Ride-Hailing","","","","2025-06-04 23:09:00","110.0","expense","imperial kitchen uber auto","","","","","","","2025-06-04 23:09:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-06 22:43:00","240.0","expense","groceries","","","","","","","2025-06-06 22:43:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-06 22:43:00","410.0","expense","chickens","","","","","","","2025-06-06 22:43:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-06 22:44:00","115.0","expense","groceries","","","","","","","2025-06-06 22:44:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-07 22:07:00","690.0","expense","chines box","","","","","","","2025-06-07 22:07:00","false","false","false","","false",""
"","Cash","Health","Pharmacy / Medicine","","","","2025-06-07 22:07:00","355.0","expense","medicine","","","","","","","2025-06-07 22:07:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-07 22:08:00","170.0","expense","snacks","","","","","","","2025-06-07 22:08:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-07 22:08:00","161.0","expense","groceries","","","","","","","2025-06-07 22:08:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-09 22:45:00","80.0","expense","","","","","","","","2025-06-09 22:45:00","false","false","false","","false",""
"","Cash","Financial & Legal","","","","","2025-06-10 08:09:00","20216.0","expense","","","","","","","","2025-06-10 08:09:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-06-12 22:43:00","480.0","expense","kerala vision internet","","","","","","","2025-06-12 22:43:00","false","false","false","","false",""
"","Cash","Health","Doctor & Hospital","","","","2025-06-12 22:43:00","5000.0","expense","check up","","","","","","","2025-06-12 22:43:00","false","false","false","","false",""
"","Cash","Transport","Ride-Hailing","","","","2025-06-12 22:43:00","90.0","expense","uber","","","","","","","2025-06-12 22:43:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-06-12 22:43:00","710.0","expense","karuthal website money","","","","","","","2025-06-12 22:43:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-12 22:44:00","250.0","expense","fruits","","","","","","","2025-06-12 22:44:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-12 22:45:00","325.0","expense","berger","","","","","","","2025-06-12 22:45:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-13 21:35:00","236.0","expense","groceries","","","","","","","2025-06-13 21:35:00","false","false","false","","false",""
"","Cash","Food & Dining","Restaurants/Dining Out","","","","2025-06-15 08:33:00","470.0","expense","Lunch","","","","","","","2025-06-15 08:33:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-16 08:33:00","110.0","expense","varkala essentials","","","","","","","2025-06-16 08:33:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-17 21:32:00","711.0","expense","","","","","","","","2025-06-17 21:32:00","false","false","false","","false",""
"","Cash","Refunds & Cashbacks","","","","","2025-06-17 21:33:00","5000.0","income","insurance","","","","","","","2025-06-17 21:33:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-20 11:08:00","25.0","expense","lime juice","","","","","","","2025-06-20 11:08:00","false","false","false","","false",""
"","Cash","Health","Doctor & Hospital","","","","2025-06-20 11:08:00","160.0","expense","consultation SRK","","","","","","","2025-06-20 11:08:00","false","false","false","","false",""
"","Cash","Health","","","","","2025-06-20 11:09:00","527.0","expense","medicne udilive for liver","","","","","","","2025-06-20 11:09:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-20 13:49:00","185.0","expense","altaza","","","","","","","2025-06-20 13:49:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-21 13:50:00","110.0","expense","kariak shake","","","","","","","2025-06-21 13:50:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-06-22 13:48:00","151.0","expense","groceries","","","","","","","2025-06-22 13:48:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-22 15:18:00","151.0","expense","karikk","","","","","","","2025-06-22 15:18:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-23 11:54:00","30.0","expense","","","","","","","","2025-06-23 11:54:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-23 11:54:00","90.0","expense","","","","","","","","2025-06-23 11:54:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-23 11:55:00","170.0","expense","","","","","","","","2025-06-23 11:55:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-24 11:56:00","165.0","expense","","","","","","","","2025-06-24 11:56:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-24 11:56:00","289.0","expense","","","","","","","","2025-06-24 11:56:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-24 11:57:00","342.0","expense","","","","","","","","2025-06-24 11:57:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-25 11:57:00","426.0","expense","","","","","","","","2025-06-25 11:57:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-25 11:57:00","416.0","expense","","","","","","","","2025-06-25 11:57:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-26 11:58:00","491.0","expense","","","","","","","","2025-06-26 11:58:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-26 11:58:00","135.0","expense","","","","","","","","2025-06-26 11:58:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-26 11:59:00","365.0","expense","","","","","","","","2025-06-26 11:59:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-27 11:59:00","123.0","expense","","","","","","","","2025-06-27 11:59:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-27 11:59:00","295.0","expense","","","","","","","","2025-06-27 11:59:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-06-27 12:00:00","211.0","expense","","","","","","","","2025-06-27 12:00:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-27 12:00:00","290.0","expense","","","","","","","","2025-06-27 12:00:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-06-28 12:00:00","3599.0","expense","jio recharge","","","","","","","2025-06-28 12:00:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-28 12:01:00","262.0","expense","","","","","","","","2025-06-28 12:01:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-28 12:01:00","77.0","expense","","","","","","","","2025-06-28 12:01:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-29 12:02:00","300.0","expense","","","","","","","","2025-06-29 12:02:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-06-29 12:02:00","201.0","expense","","","","","","","","2025-06-29 12:02:00","false","false","false","","false",""
"","Cash","Financial & Legal","Bank Fees & Charges","","","","2025-07-01 12:03:00","2263.0","expense","emi axis card microwave","","","","","","","2025-07-01 12:03:00","false","false","false","","false",""
"","Cash","Financial & Legal","Bank Fees & Charges","","","","2025-07-01 12:03:00","3052.0","expense","axio EMI","","","","","","","2025-07-01 12:03:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-07-01 12:04:00","10000.0","expense","Arun and Sagar","","","","","","","2025-07-01 12:04:00","false","false","false","","false",""
"","Cash","Mutual Funds","","","","","2025-07-01 12:05:00","12200.0","savings","investments","","","","","","","2025-07-01 12:05:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-01 12:05:00","196.0","expense","","","","","","","","2025-07-01 12:05:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-01 12:06:00","231.0","expense","","","","","","","","2025-07-01 12:06:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-01 12:06:00","277.0","expense","","","","","","","","2025-07-01 12:06:00","false","false","false","","false",""
"","Cash","Health","","","","","2025-07-01 12:06:00","10.0","expense","","","","","","","","2025-07-01 12:06:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-01 12:07:00","200.0","expense","","","","","","","","2025-07-01 12:07:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-01 12:07:00","681.0","expense","","","","","","","","2025-07-01 12:07:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-07-01 12:17:00","500.0","expense","vrinda","","","","","","","2025-07-01 12:17:00","false","false","false","","false",""
"","Cash","Family & Social","Sent to Family","","","","2025-07-01 12:18:00","10000.0","expense","achan amma","","","","","","","2025-07-01 12:18:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-07-01 12:18:00","1000.0","expense","swaroop","","","","","","","2025-07-01 12:18:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-07-01 22:45:00","6000.0","expense","loan replayment to swaroop and sagar","","","","","","","2025-07-01 22:45:00","false","false","false","","false",""
"","Cash","Salary","","","","","2025-07-01 22:46:00","126000.0","income","","","","","","","","2025-07-01 22:46:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-02 12:08:00","235.0","expense","","","","","","","","2025-07-02 12:08:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-02 12:08:00","412.0","expense","","","","","","","","2025-07-02 12:08:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-02 12:09:00","250.0","expense","","","","","","","","2025-07-02 12:09:00","false","false","false","","false",""
"","Cash","Transport","Flights","","","","2025-07-02 12:22:00","7200.0","expense","flight tickets","","","","","","","2025-07-02 12:22:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-03 12:09:00","356.0","expense","","","","","","","","2025-07-03 12:09:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-03 12:09:00","465.0","expense","","","","","","","","2025-07-03 12:09:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-07-03 12:10:00","251.0","expense","","","","","","","","2025-07-03 12:10:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-07-03 12:10:00","321.0","expense","","","","","","","","2025-07-03 12:10:00","false","false","false","","false",""
"","Cash","Financial & Legal","Bank Fees & Charges","","","","2025-07-03 12:21:00","8897.0","expense","emi","","","","","","","2025-07-03 12:21:00","false","false","false","","false",""
